Property,Date,Total,Logger,Hauler,Forestry,Misc ,Owner
Hauck,5/31/11,63341.65,18721.8,5825,4433.92,529.38,33831.55
Hagg Lake,6/9/11,7113.75,2140,975,0,1236.15,2762.6
Burgoine,6/20/11,18365.65,6080.4,3275,1285.6,,7724.65
South Tract,6/20/11,38554.8,10926,11957.865,2698.84,,12972.095
Cerro Gordo,6/28/11,14224.5,4957.2,1050,995.72,,7221.58
Whispering Winds,7/11/11,10266.75,4240,2220,1026.68,,2780.07
Willamette University Forest at Zena,7/15/11,2898,,750,0,1400,748
The Homestead,9/26/11,10253.45,3897,1175,0,2000,3181.45
Ridge,9/26/11,31525.8,7539.6,5325,2206.81,,16454.39
Alpha Farm,9/28/11,36139.55,9878.2,3920,2529.77,,19811.58
Dear Ranch,10/10/11,12337.5,4230,1080,863.63,104.4,6059.47
Trappist Abbey,10/14/11,23297.5,8002.8,2705,2329.75,,10259.95
Forest Grove Watershed,10/17/11,240300.15,68982.25,26300.785,16821.01,,128196.105
Camp Namanu,10/27/11,15856.05,6467.5,2680,0,,6708.55
Garibaldi,11/11/11,74854.06,28591.92,9266.3,0,,36995.84
